epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1041.88,1.66403,0.73176,0.93412,0.93047,0.00332373,0.00332373,0.0700865
2,1101.26,1.30265,0.72706,0.96941,0.9135,0.00659116,0.00659116,0.0400206
3,1162.77,1.26177,0.71529,0.95059,1.2117,0.00979258,0.00979258,0.00988865
4,1221.2,1.02129,0.83529,0.98118,0.51107,0.009703,0.009703,0.009703
5,1278.84,0.81644,0.84471,0.98588,0.50168,0.009604,0.009604,0.009604
6,1337.24,0.66717,0.90353,0.99294,0.40341,0.009505,0.009505,0.009505
7,1395.77,0.58208,0.89176,0.99294,0.33479,0.009406,0.009406,0.009406
8,1454.36,0.51429,0.91765,0.99529,0.26784,0.009307,0.009307,0.009307
9,1512.57,0.45629,0.92941,0.99294,0.24432,0.009208,0.009208,0.009208
10,1573.35,0.42448,0.94588,1,0.17434,0.009109,0.009109,0.009109
11,1633.58,0.42155,0.93647,0.99765,0.23223,0.00901,0.00901,0.00901
12,1691.21,0.43401,0.92471,0.99294,0.25187,0.008911,0.008911,0.008911
13,1749.84,0.35673,0.94824,1,0.15424,0.008812,0.008812,0.008812
14,1809.72,0.39197,0.93647,0.99765,0.23736,0.008713,0.008713,0.008713
15,1867.72,0.33634,0.94353,0.99765,0.21531,0.008614,0.008614,0.008614
16,1925.32,0.30979,0.95059,0.99765,0.18466,0.008515,0.008515,0.008515
17,1982.48,0.31892,0.93412,1,0.23615,0.008416,0.008416,0.008416
18,2041.96,0.31772,0.98118,1,0.0881,0.008317,0.008317,0.008317
19,2099.46,0.29036,0.97412,0.99765,0.07976,0.008218,0.008218,0.008218
20,2157.5,0.30913,0.96471,1,0.13722,0.008119,0.008119,0.008119
21,2215.13,0.25874,0.97176,1,0.11385,0.00802,0.00802,0.00802
22,2274.15,0.25046,0.97647,1,0.07852,0.007921,0.007921,0.007921
23,2333.33,0.22917,0.97412,1,0.07748,0.007822,0.007822,0.007822
24,2391.21,0.23841,0.96235,1,0.11379,0.007723,0.007723,0.007723
25,2448.98,0.23805,0.96235,0.99529,0.13212,0.007624,0.007624,0.007624
26,2507.79,0.25674,0.96471,1,0.11821,0.007525,0.007525,0.007525
27,2565.65,0.21923,0.96235,1,0.10946,0.007426,0.007426,0.007426
28,2624.1,0.24606,0.96,1,0.09707,0.007327,0.007327,0.007327
29,2682.59,0.19665,0.97176,1,0.09197,0.007228,0.007228,0.007228
30,2740.95,0.19341,0.97412,0.99765,0.11246,0.007129,0.007129,0.007129
31,2798.42,0.18571,0.97647,1,0.07085,0.00703,0.00703,0.00703
32,2855.19,0.22552,0.97882,1,0.06586,0.006931,0.006931,0.006931
33,2914.03,0.21861,0.96941,1,0.09672,0.006832,0.006832,0.006832
34,2974.4,0.19889,0.96706,1,0.08106,0.006733,0.006733,0.006733
35,3032.09,0.1944,0.98118,1,0.08554,0.006634,0.006634,0.006634
36,3089.95,0.17379,0.97412,1,0.07229,0.006535,0.006535,0.006535
